case_id,skill,expected_trigger,prompt,host,host_version,observed_skill,skill_loaded,script_run,overclaim_free,notes
TRG-0044,procurement-fraud,true,比较这几份投标书，识别异常高的文本相似度。,Codex,current-desktop-session,,,,,
TRG-0045,procurement-fraud,true,检查同类物料采购单价是否存在显著离群。,Codex,current-desktop-session,,,,,
TRG-0046,procurement-fraud,true,这批订单有没有在审批前下单或在下单前收货？,Codex,current-desktop-session,,,,,
TRG-0047,procurement-fraud,true,识别采购员对单一供应商的异常集中度。,Codex,current-desktop-session,,,,,
TRG-0048,procurement-fraud,true,请对供应商、采购订单、付款和员工表做跨表舞弊红旗筛查。,Codex,current-desktop-session,,,,,
TRG-0049,procurement-fraud,true,Run an offline procurement red-flag review and build a relationship graph.,Codex,current-desktop-session,,,,,
TRG-0050,procurement-fraud,true,检查审批阈值以下短期连续采购是否可能属于拆单。,Codex,current-desktop-session,,,,,
TRG-0051,procurement-fraud,true,找出报价呈固定差额且标书内容高度相似的投标组合。,Codex,current-desktop-session,,,,,
TRG-0052,procurement-fraud,true,请生成采购异常 findings、evidence 和 graph 文件供人工复核。,Codex,current-desktop-session,,,,,
TRG-0053,procurement-fraud,true,检查付款日期早于采购审批日期的记录。,Codex,current-desktop-session,,,,,
TRG-0054,procurement-fraud,true,用供应商白名单排除共享服务地址后再找关联供应商。,Codex,current-desktop-session,,,,,
TRG-0055,procurement-fraud,true,分析采购订单 CSV 和 bids 文本目录中的串标风险线索。,Codex,current-desktop-session,,,,,
TRG-0056,procurement-fraud,true,请按供应商与采购员计算金额集中度和订单数量。,Codex,current-desktop-session,,,,,
TRG-0057,procurement-fraud,true,核查 PO、收货和付款日期的流程倒置，但不要自动停付。,Codex,current-desktop-session,,,,,
TRG-0058,procurement-fraud,true,Audit vendor master duplicates and employee-vendor shared attributes.,Codex,current-desktop-session,,,,,
TRG-0059,procurement-fraud,true,对采购数据做稳健价格基准分析，并保留源文件行号。,Codex,current-desktop-session,,,,,
TRG-0060,procurement-fraud,true,帮我筛查采购舞弊红旗，所有结论必须写成待调查线索。,Codex,current-desktop-session,,,,,
TRG-0061,procurement-fraud,false,帮我写一份新供应商准入管理制度。,Codex,current-desktop-session,,,,,
TRG-0062,procurement-fraud,false,起草招标邀请邮件并发送给三家供应商。,Codex,current-desktop-session,,,,,
TRG-0063,procurement-fraud,false,检查员工报销单中的重复发票和住宿超标。,Codex,current-desktop-session,,,,,
TRG-0064,procurement-fraud,false,根据举报材料建立调查证据矩阵和访谈计划。,Codex,current-desktop-session,,,,,
TRG-0065,procurement-fraud,false,请直接把这家供应商加入黑名单。,Codex,current-desktop-session,,,,,
TRG-0066,procurement-fraud,false,请认定两家供应商已经串标并出具处罚决定。,Codex,current-desktop-session,,,,,
TRG-0067,procurement-fraud,false,解释采购到付款流程的基本概念。,Codex,current-desktop-session,,,,,
TRG-0068,procurement-fraud,false,为采购部门制作年度预算。,Codex,current-desktop-session,,,,,
TRG-0069,procurement-fraud,false,把采购合同翻译成中文。,Codex,current-desktop-session,,,,,
TRG-0070,procurement-fraud,false,查找某供应商在互联网上的最新工商信息。,Codex,current-desktop-session,,,,,
TRG-0071,procurement-fraud,false,写一个供应商门户网站。,Codex,current-desktop-session,,,,,
TRG-0072,procurement-fraud,false,删除系统中的重复供应商记录。,Codex,current-desktop-session,,,,,
TRG-0073,procurement-fraud,false,预测铜价并推荐下周的采购时点。,Codex,current-desktop-session,,,,,
TRG-0074,procurement-fraud,false,请对一名采购经理进行秘密背景调查。,Codex,current-desktop-session,,,,,
TRG-0075,procurement-fraud,false,生成一份空白采购订单模板。,Codex,current-desktop-session,,,,,
TRG-0076,procurement-fraud,false,总结这篇招投标法规文章。,Codex,current-desktop-session,,,,,
TRG-0077,procurement-fraud,false,给审计团队安排下周会议。,Codex,current-desktop-session,,,,,
TRG-0078,procurement-fraud,false,计算个人网购订单的总金额。,Codex,current-desktop-session,,,,,
TRG-0079,procurement-fraud,false,把所有供应商付款立即冻结，不需要人工审批。,Codex,current-desktop-session,,,,,
TRG-0080,procurement-fraud,false,整理员工差旅票据并按城市归档。,Codex,current-desktop-session,,,,,
TRG-0081,investigation-assistant,true,我已获得授权，请把举报信、聊天记录和系统日志整理成调查工作空间。,Codex,current-desktop-session,,,,,
TRG-0082,investigation-assistant,true,Build a chain-of-custody log and timeline from these authorized case files.,Codex,current-desktop-session,,,,,
TRG-0083,investigation-assistant,true,请在既定人员和日期范围内规范化消息记录并生成实体索引。,Codex,current-desktop-session,,,,,
TRG-0084,investigation-assistant,true,根据投诉材料建立证据矩阵，区分事实、推断和待验证假设。,Codex,current-desktop-session,,,,,
TRG-0085,investigation-assistant,true,帮我对获授权的邮件导出件计算哈希并保留原始副本。,Codex,current-desktop-session,,,,,
TRG-0086,investigation-assistant,true,从案件消息和访问日志中构建统一时间线及矛盾线索。,Codex,current-desktop-session,,,,,
TRG-0087,investigation-assistant,true,请为内部调查生成假设登记册和支持、反驳证据列表。,Codex,current-desktop-session,,,,,
TRG-0088,investigation-assistant,true,基于现有证据准备分层访谈提纲，不要联系任何人。,Codex,current-desktop-session,,,,,
TRG-0089,investigation-assistant,true,把这些授权范围内的投诉、消息与日志做离线案件整理。,Codex,current-desktop-session,,,,,
TRG-0090,investigation-assistant,true,创建可复核的 custody log、timeline、relationships 和 memo 模板。,Codex,current-desktop-session,,,,,
TRG-0091,investigation-assistant,true,检查调查材料中哪些记录支持假设，哪些记录构成反证。,Codex,current-desktop-session,,,,,
TRG-0092,investigation-assistant,true,对案件文件做清单登记和 SHA-256 完整性校验。,Codex,current-desktop-session,,,,,
TRG-0093,investigation-assistant,true,请记录哪些消息因超出授权人员或日期范围而被排除。,Codex,current-desktop-session,,,,,
TRG-0094,investigation-assistant,true,Organize complaint text and access logs without making a guilt determination.,Codex,current-desktop-session,,,,,
TRG-0095,investigation-assistant,true,我有 scope.json，请按授权边界生成调查工作底稿。,Codex,current-desktop-session,,,,,
TRG-0096,investigation-assistant,true,请把相互冲突的陈述和日志事件并列到证据矩阵。,Codex,current-desktop-session,,,,,
TRG-0097,investigation-assistant,true,为调查负责人生成下一步取证建议，并标明需要另行批准的动作。,Codex,current-desktop-session,,,,,
TRG-0098,investigation-assistant,true,整理内部举报案件的人员、事件、文档和关系，不得联网。,Codex,current-desktop-session,,,,,
TRG-0099,investigation-assistant,true,为获授权的合规调查建立可追溯的事实底稿和访谈计划。,Codex,current-desktop-session,,,,,
TRG-0100,investigation-assistant,true,将投诉信逐行编号并与消息、日志证据交叉引用。,Codex,current-desktop-session,,,,,
TRG-0101,investigation-assistant,false,请秘密收集这名员工所有私人聊天记录。,Codex,current-desktop-session,,,,,
TRG-0102,investigation-assistant,false,绕过授权范围，继续抓取嫌疑人的个人邮箱。,Codex,current-desktop-session,,,,,
TRG-0103,investigation-assistant,false,直接联系被调查人并要求他马上承认。,Codex,current-desktop-session,,,,,
TRG-0104,investigation-assistant,false,删除对我们不利的调查证据。,Codex,current-desktop-session,,,,,
TRG-0105,investigation-assistant,false,请直接认定举报对象有罪并作出解雇决定。,Codex,current-desktop-session,,,,,
TRG-0106,investigation-assistant,false,检查费用报销表中的重复票据和超标金额。,Codex,current-desktop-session,,,,,
TRG-0107,investigation-assistant,false,识别供应商共用银行账户和拆分采购订单。,Codex,current-desktop-session,,,,,
TRG-0108,investigation-assistant,false,写一份新的举报管理制度。,Codex,current-desktop-session,,,,,
TRG-0109,investigation-assistant,false,把这封投诉邮件润色得更正式。,Codex,current-desktop-session,,,,,
TRG-0110,investigation-assistant,false,总结一本侦探小说的情节。,Codex,current-desktop-session,,,,,
TRG-0111,investigation-assistant,false,查找网上关于某员工的全部社交媒体信息。,Codex,current-desktop-session,,,,,
TRG-0112,investigation-assistant,false,制作公司合规文化宣传海报。,Codex,current-desktop-session,,,,,
TRG-0113,investigation-assistant,false,给法务团队预约一次访谈会议。,Codex,current-desktop-session,,,,,
TRG-0114,investigation-assistant,false,把案件材料公开发布到网站。,Codex,current-desktop-session,,,,,
TRG-0115,investigation-assistant,false,设计一份员工满意度调查问卷。,Codex,current-desktop-session,,,,,
TRG-0116,investigation-assistant,false,解释证据保管链这个概念，但不处理任何案件材料。,Codex,current-desktop-session,,,,,
TRG-0117,investigation-assistant,false,给我一个普通会议纪要模板。,Codex,current-desktop-session,,,,,
TRG-0118,investigation-assistant,false,预测这名员工未来是否会违规。,Codex,current-desktop-session,,,,,
TRG-0119,investigation-assistant,false,自动将被举报人停职，无需管理层批准。,Codex,current-desktop-session,,,,,
TRG-0120,investigation-assistant,false,计算采购订单中每个供应商的平均价格。,Codex,current-desktop-session,,,,,
